ID,companyName,salesOrderID,itemPosition,city,country,convertedAmount,currency,salesOrderCount
9420bf60-5a08-5419-a7b4-f70f30e388e4,African Gold And Diamond Corporation,,,2006 Johannesburg,ZA,0,ZAR,0
7ad035eb-edd5-57d5-95aa-5387bdd2f729,Alpine Systems,,,5020 Salzburg,AT,0,EUR,0
55d80a18-830a-54e1-8320-9bf901a8dfb5,Anav Ideon,,,"56501 Bismarck, North Dakota",US,0,USD,0
649032c9-3b47-56f3-b56e-a2059b9f7e6a,Angeré,,,75018 Paris,FR,0,EUR,0
3016e056-8897-56c5-85f2-efe6f2c1edd5,Asia High tech,,,100-0004 Tokyo,JP,0,JPY,0
f5c7cc4e-b785-53f1-a135-85aa9d6e7888,Asia High tech,500000003,10,100-0004 Tokyo,JP,56973,JPY,10
1d9e8f39-1c79-5a1e-8885-d8d6a166964a,Asia High tech,500000003,20,100-0004 Tokyo,JP,1128,JPY,10
d5d50e3d-6831-5b8d-ac2a-3364d4ccd86e,Asia High tech,500000003,30,100-0004 Tokyo,JP,8829,JPY,10
1b47b9cb-8583-584b-aa23-9562bb32e107,Asia High tech,500000003,40,100-0004 Tokyo,JP,23077,JPY,10
a5ed5eb3-c308-5487-a464-83bf59431d86,Asia High tech,500000003,50,100-0004 Tokyo,JP,3117,JPY,10
a342c8f3-c06c-5531-8457-684510a067c5,Asia High tech,500000004,10,100-0004 Tokyo,JP,24552,JPY,10
f18e08c0-934e-509e-98b9-3ff32d531ab4,Asia High tech,500000004,20,100-0004 Tokyo,JP,10839,JPY,10
c88c0a6f-1e7d-56f8-bedd-c0c68ace11d5,Asia High tech,500000004,30,100-0004 Tokyo,JP,18844,JPY,10
bc0c474a-4798-57f9-8a6a-8d6c32749330,Asia High tech,500000004,40,100-0004 Tokyo,JP,10446,JPY,10
1daf8609-c480-54c2-b62b-bb026d137537,Asia High tech,500000004,50,100-0004 Tokyo,JP,19635,JPY,10
e590fb22-0fd0-577d-89b5-7449241b8343,Asia High tech,500000013,10,100-0004 Tokyo,JP,229272,JPY,10
5753e927-9de6-5aa8-aa7e-fa181895d96e,Asia High tech,500000013,20,100-0004 Tokyo,JP,209745,JPY,10
